MessageType,MessageID,AccountID,Currency,OpeningBalance,ClosingBalance,Transactions,Timestamp,BIC,IsSuspicious
AUTH,AUTH003,ACC6003,USD,7000,7200,2,2025-01-23T16:30:00,CITIUS33,0
AUTH,AUTH004,ACC6004,EUR,9500,9900,3,2025-01-24T17:15:00,DEUTDEFF,1
BAH,BAH005,ACC1005,USD,11000,10500,2,2025-01-25T08:00:00,BOFAUS3N,0
BAH,BAH006,ACC1006,EUR,21000,20500,4,2025-01-26T08:45:00,HSBCGB2L,1
PACS,PACS005,ACC2005,GBP,16000,15500,3,2025-01-27T09:30:00,BNPAFRPP,0
PACS,PACS006,ACC2006,USD,26000,25000,5,2025-01-28T10:15:00,CITIUS33,1
PAIN,PAIN005,ACC3005,USD,5200,5000,1,2025-01-29T11:00:00,DEUTDEFF,0
PAIN,PAIN006,ACC3006,EUR,7800,7700,2,2025-01-30T11:45:00,BOFAUS3N,1
FXTR,FXTR005,ACC4005,GBP,14000,14500,4,2025-01-31T12:30:00,HSBCGB2L,0
FXTR,FXTR006,ACC4006,USD,23000,23500,6,2025-02-01T13:15:00,BNPAFRPP,1
CAMT,CAMT005,ACC5005,EUR,36000,35000,7,2025-02-02T14:00:00,CITIUS33,0
CAMT,CAMT006,ACC5006,GBP,46000,45000,5,2025-02-03T14:45:00,DEUTDEFF,1
AUTH,AUTH005,ACC6005,USD,7500,7600,1,2025-02-04T15:30:00,BOFAUS3N,0
AUTH,AUTH006,ACC6006,EUR,9700,9800,2,2025-02-05T16:15:00,HSBCGB2L,1
BAH,BAH007,ACC1007,GBP,12500,12000,3,2025-02-06T08:30:00,BNPAFRPP,0
BAH,BAH008,ACC1008,USD,18500,17500,4,2025-02-07T09:15:00,CITIUS33,1
PACS,PACS007,ACC2007,EUR,22500,21500,5,2025-02-08T10:45:00,DEUTDEFF,0
PACS,PACS008,ACC2008,GBP,17500,16500,3,2025-02-09T11:00:00,BOFAUS3N,1
PAIN,PAIN007,ACC3007,USD,6300,6000,2,2025-02-10T12:30:00,HSBCGB2L,0
PAIN,PAIN008,ACC3008,EUR,8500,8300,3,2025-02-11T13:15:00,BNPAFRPP,1
FXTR,FXTR007,ACC4007,GBP,13500,14000,4,2025-02-12T14:00:00,CITIUS33,0
FXTR,FXTR008,ACC4008,USD,24500,25000,6,2025-02-13T15:30:00,DEUTDEFF,1
CAMT,CAMT007,ACC5007,EUR,37000,36000,7,2025-02-14T16:45:00,BOFAUS3N,0
CAMT,CAMT008,ACC5008,GBP,47000,46000,5,2025-02-15T17:20:00,HSBCGB2L,1
AUTH,AUTH007,ACC6007,USD,7800,7900,1,2025-02-16T18:00:00,BNPAFRPP,0
AUTH,AUTH008,ACC6008,EUR,9900,10000,2,2025-02-17T18:30:00,CITIUS33,1
BAH,BAH009,ACC1009,GBP,13000,12500,3,2025-02-18T08:30:00,DEUTDEFF,0
PACS,PACS009,ACC2009,USD,27000,26000,4,2025-02-19T09:00:00,BOFAUS3N,1
pacs.004,ZLA2053090214,1612153703,CAD,214940,244342,5,2025-01-15 01:59:26,FDSHGBCXXRF,0
pacs.004,IHE5893554821,1181727513,USD,815467,724303,23,2025-01-23 01:59:26,JZRGUS29,0
pacs.004,HAA6052238703,8978290661,AUD,371631,410572,19,2025-02-21 01:59:26,BPLEDE9P,0
pain.001,AFQ1668168806,0548086699,CHF,337561,294648,12,2025-02-02 01:59:26,IGJEUSXA82Y,0
camt.053,FVR9225665489,6538862330,GBP,72260,81963,29,2024-10-23 01:59:26,SELPAUFKBHU,0
camt.054,QMV6275443980,8181242385,AUD,480091,528067,5,2024-11-06 01:59:26,BGOTCHNTHDJ,0
pacs.008,HKY6796055298,9969698727,GBP,172373,186798,26,2025-01-27 01:59:26,TXYGDEPE90N,0
pacs.004,QLB4424640496,8072117289,CHF,20888,23645,38,2024-09-01 01:59:26,MAMAAUR7WD9,0
pacs.009,SJF0826208714,0505103373,GBP,444403,523861,23,2025-01-18 01:59:26,QXAVJPVT,0
pain.001,IMQ9411717942,1126949337,CAD,482586,394147,38,2024-11-24 01:59:26,GWEJCNADVJW,0
pain.001,RBA1089973149,8282609063,JPY,276908,323775,24,2024-10-13 01:59:26,CHLUFROVBAP,0
camt.053,NBS3282429441,7474181220,EUR,923837,1014419,40,2025-02-27 01:59:26,QVCODEPR,0
pacs.004,LOC2506992228,8102849008,AUD,450303,485807,34,2024-05-03 01:59:26,HRCFUSSRRVK,0
pacs.004,OII6925627803,1531586720,GBP,659348,667278,17,2025-01-01 01:59:26,NLCEAURLCUW,0
pacs.008,ZBJ2681300105,7960780500,JPY,104597,100010,13,2024-12-21 01:59:26,DLUYDEG9T46,0
camt.054,FTZ5846567228,9860475055,EUR,683671,573032,25,2024-10-06 01:59:26,QLFYJPDMA3K,0
camt.053,WLO5729593324,3354080961,AUD,310742,354838,11,2025-02-19 01:59:26,IMZSCH4B6IA,0
pacs.009,FBK9037242749,7785308222,GBP,980630,931740,20,2025-03-30 01:59:26,JBYFJP5D249,0
pacs.008,RXI2313055343,7303123283,CHF,276203,297924,9,2025-01-07 01:59:26,MMOPDEJFP1F,0
pacs.008,RMQ8012041575,0288626858,CAD,110355,93755,6,2024-12-24 01:59:26,UZHZAUFK753,0
pain.001,PNA4222887631,4517149799,EUR,381626,405397,35,2025-03-07 01:59:26,YGRCJP7N,0
pacs.004,HPR8814056216,8636331500,GBP,447095,440860,31,2024-05-03 01:59:26,QMPMJP50,0
pacs.009,DPP6574346237,5204418938,EUR,555654,514445,40,2024-11-12 01:59:26,BUAFCN5LX7G,0
pacs.008,LQN1945474431,4803902248,USD,870728,994400,14,2024-12-08 01:59:26,CMODJPWM1UE,0
camt.053,MAF2849148136,8061589704,AUD,732938,811573,18,2024-06-24 01:59:26,VGFUAU2OC3S,0
camt.054,RRH5925714194,2119165677,AUD,556979,493077,12,2024-09-18 01:59:26,TSRRFR2XFRF,0
pacs.004,AWG1374535107,7282993475,JPY,263586,211835,22,2025-01-26 01:59:26,BGRSJPZ6H8Y,0
camt.054,AMK7243065415,0594353948,CHF,860817,793475,20,2024-06-29 01:59:26,EVZMDELOIC0,0
pacs.009,SBD2993432109,6679747571,EUR,404926,423501,5,2024-08-04 01:59:26,IJDUFRB4,0
pacs.009,ZWX3532286853,9549755565,CAD,210388,206499,13,2024-11-05 01:59:26,DWHJCH1WTEG,0
camt.053,UGC9135891980,2871481417,EUR,590430,616683,3,2024-12-23 01:59:26,AJRUGBC3,0
pacs.009,MWJ5107464132,5707858063,CHF,442825,406332,30,2024-11-03 01:59:26,GWJHAUZB,0
pacs.008,KGG8685253011,2304122598,USD,405103,344727,16,2024-08-10 01:59:26,IXBCGBLKDIV,0
camt.053,ORT5597063935,6027336373,GBP,914254,964046,30,2025-01-13 01:59:26,QNULCHD8,0
pacs.009,QIK4897897479,3066500004,CHF,133040,112147,10,2024-12-10 01:59:26,KCGNAU3XYHH,0
pacs.008,EBS4899215420,5781693999,EUR,739889,830733,17,2024-08-28 01:59:26,LZFFCHQX,0
pacs.008,MVN6657051061,7794519014,CHF,495785,464928,30,2025-02-08 01:59:26,OHHAHKCEWTG,0
pain.001,DZR8242012620,2031678725,GBP,798855,882482,14,2025-01-18 01:59:26,PMNRAUFV7AG,0
pacs.004,VVR1626473216,1427900363,CAD,934036,1062889,13,2024-11-17 01:59:26,KQIHUSQ9LI5,0
pacs.004,GWA7398585047,6821247920,AUD,287158,292702,5,2024-08-23 01:59:26,XDWEFRE7O13,0
camt.054,WEK1385463010,7456847472,JPY,656950,538222,13,2025-01-26 01:59:26,UMGYDEAZWMY,0
pacs.008,OCL2119965346,5987272621,GBP,110345,115933,4,2025-01-11 01:59:26,CHKFDE4IM5X,0
camt.053,DMI1342916637,1197541317,CHF,439739,461073,22,2024-05-28 01:59:26,DNWOJPXT,0
pacs.008,SXJ6580675728,1145662173,JPY,70835,39177,57,2024-11-17 01:59:26,OXCDJPRVNYY,1
camt.053,DNE6633514999,9550963056,USD,212401,193407,12,2025-02-10 01:59:26,IOXCCNFQ,0
pacs.004,BIT8656749753,5061406407,EUR,926989,858887,40,2025-01-19 01:59:26,SEPBCNEXTWU,0
pacs.009,XGN9529662827,8835199931,EUR,528826,430867,17,2024-11-24 01:59:26,OZGAUSK6ITE,0
camt.053,EPZ9948624702,0443812499,EUR,937667,881767,12,2024-07-27 01:59:26,TBARFRCRRU8,0
camt.054,FJH1570293706,7865246059,USD,679092,595074,33,2024-10-07 01:59:26,FPTKAUYRNGL,0
pacs.004,UPZ9691984792,1582112562,AUD,377471,366167,12,2024-07-11 01:59:26,ONJLCNREAHL,0
pacs.004,URK3945359189,3782142223,USD,165110,138925,147,2024-05-19 01:59:26,OECXCNV6RYF,1
camt.053,ZVM5457280479,6497385203,EUR,548801,615460,27,2024-11-09 01:59:26,OQPICH9Q1K2,0
pacs.009,HPH7702692972,8655563255,EUR,196984,201934,40,2024-08-29 01:59:26,LLCJJP8C8UH,0
pacs.004,TJT2304072078,9531337922,CHF,459315,474864,4,2024-06-21 01:59:26,TZIXUSJ1L6K,0
camt.054,UEV7649548260,6761814738,USD,362688,334260,17,2024-06-02 01:59:26,YHCPCN0G,0
pacs.004,GFH7234007413,4249369226,CAD,345206,342264,32,2024-11-02 01:59:26,UACDGBJQG6T,0
camt.054,UBR5202009444,4789636960,CAD,578974,674380,7,2024-07-01 01:59:26,RMFSHK5Y3Q4,0
camt.054,OJF7364133871,5052962181,USD,642887,566641,18,2024-07-02 01:59:26,SDOPJPV6DF4,0
pacs.004,XLM3287695181,6620322800,JPY,284793,236196,11,2025-02-06 01:59:26,RZJIFR0EAUO,0
pacs.004,PUY5309360467,7390615731,GBP,17336,16476,24,2024-11-27 01:59:26,UEBPAU0G,0
camt.054,LMA6461105950,0187594452,CAD,918482,1063593,36,2025-01-20 01:59:26,KFEECHEU,0
pacs.009,EJR0365680623,1291468256,CAD,194728,169301,2,2024-11-28 01:59:26,EKCISGYP,0
camt.054,DYC4984029457,4508856766,USD,321755,281049,15,2024-06-29 01:59:26,PYHTAUS27ZE,0
camt.054,XOG5615256557,4541598880,JPY,845281,703450,17,2024-11-02 01:59:26,MFIYAUNZ54K,0
pacs.008,VGS8060650357,5889270917,CAD,86893,92945,21,2024-12-07 01:59:26,YDOQSGH32RA,0
camt.054,CMQ8261748880,3902950352,USD,456199,384654,14,2024-10-17 01:59:26,EXKYCNB7,0
pacs.008,IEJ6437115292,8557930094,CAD,738927,234794,5,2025-01-05 01:59:26,OYWRFR4L4ZP,1
pacs.008,LOW1593208911,5222415985,JPY,145895,125338,148,2024-04-26 01:59:26,WCJVJP51,1
pain.001,YQU1346985678,0465348284,AUD,144136,244136,5,2024-10-17 01:59:26,HVUJCHNM8RG,1
camt.053,XFC0558815164,6935684829,CHF,162149,184561,27,2024-09-22 01:59:26,KDPWCN6YKW9,0
camt.053,ZVH7787732520,4861712177,EUR,807546,860627,24,2025-01-10 01:59:26,MVRUCHRE0V0,0
camt.054,JCM2087075510,8471960687,JPY,351606,405017,25,2025-02-01 01:59:26,BHYUJP0LELN,0
pacs.004,WPX7740421156,6374073635,CHF,419331,501402,34,2024-04-05 01:59:26,JJDOSG8XVXC,0
pacs.009,JQR2000859010,0667347304,GBP,610337,677384,32,2025-01-26 01:59:26,JRCRDELLODL,0
pain.001,UJC7795337788,0685761889,USD,461766,506497,8,2025-01-07 01:59:26,SNYWUS1XP8Z,0
pain.001,HBR8221334641,5386063284,USD,951824,1013732,31,2024-06-03 01:59:26,QYHTUS2K,0
pacs.004,EZB5612981109,0702948741,JPY,825412,770393,32,2024-11-23 01:59:26,FOIMCHD6HJ3,0
pacs.009,IEO4091850639,6798536411,AUD,539763,466856,33,2024-10-03 01:59:26,EKKSJPHYXI4,0
pacs.009,NAV1448855323,6325264780,JPY,703114,716894,15,2024-12-14 01:59:26,VVLBJPNEYR2,0
pain.001,WMM7566438135,7323364147,JPY,788021,893462,17,2024-05-05 01:59:26,ACFKCNQUFE3,0
pacs.008,BPJ8253488118,7375707520,CAD,961212,1090744,10,2024-10-19 01:59:26,AIGHSGCKOO9,0
pacs.004,VZE0625828198,9498090804,EUR,634952,599224,13,2024-06-04 01:59:26,RYQRAU9WO56,0
pacs.009,BFG1324990161,4105990129,EUR,106300,93341,8,2024-06-06 01:59:26,TJDICHU1JEM,0
camt.054,OAM1285878329,8127950951,GBP,922124,839616,2,2025-03-22 01:59:26,ORAFHKWI27Z,0
pacs.009,VKA7322117509,4436180027,JPY,160803,157593,18,2024-09-15 01:59:26,FUJPSG87O0D,0
pacs.004,XTV6536618821,1529790293,CAD,32866,36938,38,2025-01-24 01:59:26,MTWQFRCAKKI,0
pain.001,QGN2463467773,8087511286,AUD,476491,462941,21,2024-12-17 01:59:26,EDRZFR61,0
pain.001,XSX2397792837,4008841598,EUR,478146,417619,10,2024-08-15 01:59:26,QNKODESBL9H,0
camt.054,DUN9988864005,6420067201,GBP,660019,938359,7,2024-11-27 01:59:26,KQYNSGJLMSU,1
pacs.008,NAZ8468213805,1968706630,CAD,851055,951055,1,2024-10-10 01:59:26,TNFYFRWP21E,1
pacs.004,IUZ5454233538,3534198373,GBP,479253,570117,34,2024-05-17 01:59:26,RTTVGBDS,0
pacs.008,TBK4487665155,9844600725,GBP,314878,279769,39,2025-03-25 01:59:26,DBBQUSP7,0
pacs.004,LVQ4105090645,0753098743,EUR,903911,996545,15,2024-07-24 01:59:26,URYQHKTSC5C,0
pacs.009,CPD0270116894,3754518861,CAD,649834,536119,30,2024-05-26 01:59:26,ULTNJPRXVFG,0
pain.001,JNB8474795064,2711881676,USD,333703,347784,36,2025-02-24 01:59:26,UEACJPU5BG4,0
pacs.004,MIO1397751325,8362883392,EUR,425538,394515,28,2024-10-29 01:59:26,DPPTJPQVYP1,0
pacs.004,UVI2535284479,3563571518,USD,325593,366292,24,2024-07-26 01:59:26,CVHLHKCP09T,0
pain.001,EDR8342671892,0043606760,EUR,210157,185127,17,2024-04-10 01:59:26,SUZJCH0ZYVE,0
pacs.008,CEJ0875634761,1909853094,CAD,646825,606749,40,2024-10-08 01:59:26,XMMYCNZQS0E,0
camt.053,YHA0921348484,0141786554,JPY,217548,225065,35,2025-03-02 01:59:26,MHTHJP4GZBG,0
camt.054,NZN7598135706,9699721761,CAD,532141,465494,7,2024-06-28 01:59:26,BPURCN81TMZ,0
pacs.004,YZJ9182010847,4097942048,JPY,964930,842435,31,2024-05-03 01:59:26,NJCLSG9A,0
pain.001,XQY1237406759,4868447228,AUD,513891,543325,10,2024-09-02 01:59:26,EYDGSGICOL6,0
pain.001,HYN2278431342,8154347285,JPY,578313,475763,29,2024-05-27 01:59:26,MQQESGRMHQ4,0
pacs.004,CKQ3336244512,4879654726,JPY,663958,566615,21,2024-05-03 01:59:26,LXUMFRO9KT1,0
pain.001,UOC5627393765,5997322866,CAD,37677,35259,20,2025-03-12 01:59:26,RGCODETVVQW,0
pacs.008,AVD4858007984,1914453516,AUD,728101,736082,2,2025-03-06 01:59:26,AFKAJPWT92R,0
pacs.008,DZU3329793670,2842877136,CAD,933958,1101948,10,2024-05-30 01:59:26,GRTZSGREHX7,0
camt.054,LAE0076624056,6620438615,EUR,984435,1159361,26,2024-08-15 01:59:26,ZGMQAUW1,0
pacs.004,YSS9793529622,7173013641,CAD,249131,216479,36,2024-10-17 01:59:26,LAXOCHPX,0
pacs.008,LWY2354242431,8078978957,GBP,362675,300455,8,2024-09-08 01:59:26,AWPTJPKQPV5,0
pacs.008,OQA7295202764,1247589735,GBP,13708,12844,34,2025-03-15 01:59:26,ONGQSGD2PHO,0
pacs.004,ANS8058600758,0767672051,AUD,319058,380326,18,2024-05-29 01:59:26,TBITGBZB6SE,0
pain.001,VKR2816375010,7242067572,CAD,540333,440786,37,2024-05-10 01:59:26,VADKGBERYOT,0
camt.054,NVX5577541833,2995588963,EUR,281984,235243,18,2024-06-06 01:59:26,LGNQSGNQ0OF,0
pacs.008,HPK4284159962,9102455183,JPY,103071,111161,24,2024-04-07 01:59:26,CRTXDEBR,0
pacs.004,UIS6123604858,2258169506,USD,31252,25537,31,2025-02-20 01:59:26,BHZPJPVN,0
pacs.004,GIB1358714398,4913572813,GBP,247371,211576,5,2024-10-04 01:59:26,LWBKAU66N9Q,0
pacs.004,FFQ6739486724,0916810347,GBP,784529,874390,35,2024-08-03 01:59:26,HQEEUSALR2W,0
camt.054,QGF3101879051,9909920899,AUD,404856,329912,4,2024-04-10 01:59:26,JOLGJPOGXJN,0
camt.054,MXC8792979666,0539904234,CAD,188418,175605,18,2024-09-29 01:59:26,JELZFRO2604,0
pacs.009,IQI2730321359,6943858073,USD,563980,179312,9,2025-03-25 01:59:26,CLWIGB12W03,1
camt.054,GLX1412220384,3063324456,AUD,993546,1102997,6,2025-01-27 01:59:26,MVTUCNDB15F,0
pacs.004,RTJ5793512770,7869882336,CAD,650610,542803,1,2024-06-03 01:59:26,NWUNCHN2J5G,0
pacs.004,BEU1953152441,5732827840,GBP,7778,8105,32,2024-07-16 01:59:26,ECHICHX7A6Z,0
pacs.009,PZX3303830707,2758471198,EUR,419204,471756,27,2024-07-23 01:59:26,VEYYAU8O,0
camt.054,PYW8461760884,8923727113,CHF,738809,794454,21,2024-09-09 01:59:26,NOWQGB2V,0
pacs.004,AMQ4672869694,3525391058,CAD,563706,566686,9,2024-07-14 01:59:26,JMOIGB4I,0
camt.054,OYJ7156681167,7911913408,AUD,646437,622974,33,2025-03-10 01:59:26,GTINCN7MOEJ,0
camt.053,CPA2406435544,5766223958,GBP,278204,243899,16,2024-08-22 01:59:26,ESNLGBVXXIO,0
pacs.004,UUK8783663701,2567943761,CHF,398159,409800,37,2024-10-05 01:59:26,AEMGUS2VU41,0
pacs.008,VOI9735463219,4729295630,USD,646312,698087,12,2024-07-21 01:59:26,NOTJGBTY,0
camt.054,KFY8222708079,2108172201,CAD,863868,836452,22,2024-05-13 01:59:26,SWLPCHJYX8C,0
pacs.004,JFH8970010518,9907794833,GBP,433358,403181,16,2024-06-14 01:59:26,ZYTSHKMH71F,0
camt.053,PBM8958592494,4917459108,GBP,608922,555128,35,2025-03-17 01:59:26,DTGDSGB6O4Q,0
pain.001,DYV9530893791,2718590339,EUR,31612,33029,33,2024-04-21 01:59:26,QUKYDEGM,0
pain.001,QCK6663845321,3154729190,AUD,736582,721298,26,2024-09-18 01:59:26,RVEWCNPK4P8,0
pain.001,FSD0802746713,5080093525,AUD,266921,252132,33,2024-10-02 01:59:26,XQBNJPPZ9F6,0
pacs.009,ARR3054359660,3156700867,GBP,683208,621290,5,2024-05-15 01:59:26,JTSXDEHY0OH,0
pain.001,QHO6327844439,9120835855,USD,246181,127046,7,2024-10-08 01:59:26,FWJUUSXUC1H,1
pacs.009,MAL2643630145,3306885837,EUR,842824,749432,29,2024-07-18 01:59:26,HJRJSGIE,0
pacs.004,DMD9214691035,2361239136,AUD,885920,1032126,20,2024-09-03 01:59:26,HNWRGBZ0,0
pain.001,PMZ7572504483,6505407755,USD,675390,580009,29,2025-02-21 01:59:26,VOPOCH3CJ2Z,0
pacs.008,GDN4085081581,7687075109,GBP,326555,338515,37,2024-09-18 01:59:26,XRXYHK38RL5,0
pain.001,BPA5933247613,2230237007,CAD,182690,186243,12,2024-04-23 01:59:26,CSNVCN1RM81,0
pacs.008,YAB9467713892,6904351473,EUR,868792,962227,21,2024-06-04 01:59:26,UGXRSGO7ZI2,0
camt.053,ZWS3311790845,2649625381,USD,91362,108731,33,2024-08-31 01:59:26,KFZVCHLOFX1,0
pacs.004,UJP0283505533,6381355153,GBP,228753,214432,34,2024-07-11 01:59:26,MIHXFRLGMOK,0
pacs.009,JDX3084340674,0948813665,JPY,413414,438414,3,2024-11-11 01:59:26,ZCERGBK7ISI,1
pacs.008,MKB9520969836,2488901745,CHF,976026,945715,18,2024-11-02 01:59:26,OZFDSG8IVKG,0
